Name,Author,UserRating,Review,Price,Year,Genre,User Rating,Reviews
1233,1234,5.0,6.0,5,2011,Fiction,,
10-Day Green Smoothie Cleanse,JJ Smith,,,8,2016,Non Fiction,4.7,17350.0
11/22/63: A Novel,Stephen King,,,22,2011,Fiction,4.6,2052.0
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,,,15,2018,Non Fiction,4.7,18979.0
1984 (Signet Classics),George Orwell,,,6,2017,Fiction,4.7,21424.0
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,,,12,2019,Non Fiction,4.8,7665.0
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,,,11,2011,Fiction,4.4,12643.0
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,,,30,2014,Fiction,4.7,19735.0
A Gentleman in Moscow: A Novel,Amor Towles,,,15,2017,Fiction,4.7,19699.0
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,,,3,2018,Non Fiction,4.7,5983.0
A Man Called Ove: A Novel,Fredrik Backman,,,8,2016,Fiction,4.6,23848.0
A Man Called Ove: A Novel,Fredrik Backman,,,8,2017,Fiction,4.6,23848.0
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,,,2,2010,Non Fiction,4.6,460.0
A Stolen Life: A Memoir,Jaycee Dugard,,,32,2011,Non Fiction,4.6,4149.0
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,,,5,2018,Fiction,4.5,5153.0
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,,,17,2009,Non Fiction,4.6,5013.0
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,,,4,2016,Non Fiction,4.5,2313.0
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,,,6,2015,Non Fiction,4.6,2925.0
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,,,6,2015,Non Fiction,4.4,2951.0
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,,,8,2015,Non Fiction,4.5,2426.0
Alexander Hamilton,Ron Chernow,,,13,2016,Non Fiction,4.8,9198.0
All the Light We Cannot See,Anthony Doerr,,,14,2014,Fiction,4.6,36348.0
All the Light We Cannot See,Anthony Doerr,,,14,2015,Fiction,4.6,36348.0
Allegiant,Veronica Roth,,,13,2013,Fiction,3.9,6310.0
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,,,9,2015,Non Fiction,4.6,15921.0
And the Mountains Echoed,Khaled Hosseini,,,13,2013,Fiction,4.3,12159.0
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,,,5,2009,Non Fiction,4.6,798.0
Astrophysics for People in a Hurry,Neil deGrasse Tyson,,,9,2017,Non Fiction,4.7,9374.0
"Autobiography of Mark Twain, Vol. 1",Mark Twain,,,14,2010,Non Fiction,4.2,491.0
Baby Touch and Feel: Animals,DK,,,5,2015,Non Fiction,4.6,5360.0
Balance (Angie's Extreme Stress Menders),Angie Grace,,,11,2015,Non Fiction,4.6,1909.0
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,,,24,2012,Non Fiction,4.8,1296.0
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,,,21,2010,Non Fiction,4.7,615.0
Becoming,Michelle Obama,,,11,2018,Non Fiction,4.8,61133.0
